Date,Description,Amount
10/22/2025,TARGET T-1882 SAN DIEGO,-53.86
2026-03-31,AMAZON.COM*RT4421,-29.42
2026-03-09,RALPHS #0712,-44.96
10/13/2025,STARBUCKS #04521 SAN DIEGO CA,-7.67
12/14/2025,COREPOWER YOGA #88,-24.00
10/30/2025,AMAZON.COM*RT4421,-112.83
1/1/2026,EFT WITHDRAWAL PROPERTY MG,-2150.00
02/20/2026,CORE POWER YOGA SD,-24.00
03/15/2026,Lyft   *Ride Sat 11pm,-12.06
2025-10-30,VONS 3221,-42.69
1/30/2026,SHELL OIL 57441221,-48.43
01/06/2026,AMAZON.COM*REFUND RT4421,28.08
12/22/25,LYFT *RIDE WED 3PM,-20.79
2/18/2026,DD DOORDASH BURGERLO,-19.35
11/28/2025,  DIRECT DEPOSIT - ACME CORP PAYROLL   ,2840.50
2026-03-12,SAN DIEGO GAS & ELEC,-126.30
1/6/2026,TJ'S #221,-80.27
02/10/2026,SHELL OIL 5744 DEL MAR,-48.96
2026-02-05,Netflix Subscription,-15.49
12/18/25,  ATT MOBILITY 800-331-0500   ,-91.59
12/19/2025,AMZN MKTPL*A21XK7,-23.42
2026-03-25,amzn mktpl*a21xk7,-89.15
10/30/25,Ralphs Grocery,-51.72
2026-03-05,SPOTIFY USA NEW YORK NY,-10.99
02/03/26,TARGET 00018821,-84.16
11/07/2025,CHIPOTLE 2841,-11.68
2/1/2026,EFT WITHDRAWAL PROPERTY MG,-2150.00
2026-02-06,Lyft   *Ride Sat 11pm,-19.57
2026-03-20,TJ'S #221,-29.22
10/10/2025,ralphs grocery 0712 sd,-25.48
02/02/26,vons 3221,-20.07
03/09/2026,AMAZON.COM*RT4421,-29.33
10/04/2025,AMZN Mktp US*8821B,-122.42
02/22/26,APPLE.COM/BILL,-4.59
12/03/2025,AMZN MKTPL*A21XK7,-35.61
12/19/2025,starbucks coffee  ,-6.34
03/25/26,Ralphs Grocery,-83.40
1/10/2026,PENDING - AMAZON.COM*RT4421,-134.69
2025-12-16,Ralphs Grocery,-63.28
01/01/26,DOORDASH*PIZZA HUT,-34.46
2/19/2026,VONS 3221,-39.13
01/15/2026,VONS STORE 3221 DEL MAR,-67.51
3/19/2026,CORE POWER YOGA SD,-24.00
2026-03-16,AMAZON.COM*REFUND RT4421,
1/3/2026,AMAZON MKTPLACE PMTS,-31.39
2026-01-17,LYFT *RIDE WED 3PM,-11.40
11/23/25,COREPOWER YOGA #88,-24.00
02/22/2026,Amazon.com,-113.48
2025-11-16,Amazon.com,-74.08
2025-11-22,DD DOORDASH BURGERLO,-25.29
10/14/2025,,-7.79
2026-03-08,24HR FITNESS USA,-39.99
2/28/2026,,-47.72
